,Volume,Volume_pred
2013-01-01,7.668,1.0
2013-02-01,10.3092,7.633238216094342
2013-03-01,16.5288,10.279364944777832
2013-04-01,13.3764,16.49788528950538
2013-05-01,20.2776,13.338584569234063
2013-06-01,22.8336,20.21989097821108
2013-07-01,15.2508,63.07094232643138
2013-08-01,19.2552,20.50871878117349
2013-09-01,18.744,31.31083490497177
2013-10-01,19.17,18.16072930104902
2013-11-01,13.0356,32.54110927172478
2013-12-01,14.7396,18.518785596627765
2014-01-01,14.1432,11.517175411413742
2014-02-01,16.9548,16.54183551497481
2014-03-01,19.7664,20.752013378896564
2014-04-01,13.5468,18.833527561315435
2014-05-01,18.318,17.452239778582193
2014-06-01,16.6992,21.06467776637937
2014-07-01,18.9996,12.849616192681571
2014-08-01,17.2956,21.879032325931426
2014-09-01,13.7172,17.378933546576018
2014-10-01,12.0,14.826087885687517
2014-11-01,20.022,11.583405472658281
2014-12-01,13.242,16.531634757313373
2015-01-01,11.112,12.637495125327813
2015-02-01,12.4484,15.135068116691945
2015-03-01,16.5604,13.270005705721521
2015-04-01,11.6724,11.06030753377226
2015-05-01,20.9592,15.751065352128986
2015-06-01,23.5152,16.0271920539558
2015-07-01,11.5872,19.63856920640261
2015-08-01,8.0852,13.117206167110298
2015-09-01,13.5784,11.338319536954266
2015-10-01,12.4392,10.076837363937367
2015-11-01,9.5424,16.617152825323373
2015-12-01,12.2688,9.777254639921251
2016-01-01,15.336,9.459268880183073
2016-02-01,20.2776,9.780584013842615
2016-03-01,23.2596,20.91439495973685
2016-04-01,21.726,17.335836908068845
2016-05-01,34.08,28.811733364152573
2016-06-01,32.1204,35.116126189651496
2016-07-01,35.0172,22.63809718907403
2016-08-01,30.9276,28.399522287674817
2016-09-01,16.4436,38.26208310799596
2016-10-01,25.4469,21.775915771412173
2016-11-01,16.8435,30.119766166275035
2016-12-01,22.8285,18.550029839715318
2017-01-01,,29.442413459141335
2017-02-01,,30.50275914082511
2017-03-01,,26.311292561752516
2017-04-01,,30.511559876234198
2017-05-01,,34.22675422702507
2017-06-01,,36.567970118572624
2017-07-01,,42.612827797494305
2017-08-01,,39.822924795293055
2017-09-01,,25.20903628735251
2017-10-01,,34.99002787723503
2017-11-01,,28.108492471648688
2017-12-01,,34.76761845762118
